Order_ID,Product,Category,Quantity,Price,Sales,City,Payment_Method,Order_Status,Customer_Name
O00025,Laptop,Electronics,4,45102,180408,Kolkata,Net Banking,Pending,Customer_103
O00026,Smart Watch,Wearables,1,32057,32057,Chennai,Net Banking,Completed,Customer_49
O00027,Mobile,Electronics,2,29376,58752,Pune,Cash,Pending,Customer_154
O00028,Laptop,Electronics,1,515,515,Hyderabad,Card,Cancelled,Customer_26
O00029,Tablet,Electronics,5,2171,10855,Mumbai,Card,Cancelled,Customer_97
O00030,Headphones,Accessories,3,23266,69798,Hyderabad,UPI,Pending,Customer_32
O00031,Mobile,Electronics,4,31039,124156,Bangalore,Net Banking,Pending,Customer_22
O00032,Headphones,Accessories,1,49630,49630,Delhi,UPI,Pending,Customer_178
O00033,Headphones,Accessories,5,2013,10065,Pune,UPI,Completed,Customer_177
O00034,Laptop,Electronics,5,20035,100175,Chennai,Cash,Cancelled,Customer_67
O00035,Tablet,Electronics,2,23810,47620,Kolkata,Card,Cancelled,Customer_139
O00036,Tablet,Electronics,2,40688,81376,Kolkata,Card,Completed,Customer_103
O00037,Keyboard,Accessories,2,34423,68846,Bangalore,UPI,Cancelled,Customer_8
O00038,Laptop,Electronics,3,31448,94344,Delhi,Card,Cancelled,Customer_155
O00039,Tablet,Electronics,4,47890,191560,Delhi,UPI,Completed,Customer_57
O00040,Mobile,Electronics,2,31307,62614,Pune,UPI,Completed,Customer_124
O00041,Laptop,Electronics,4,43293,173172,Delhi,Cash,Cancelled,Customer_31
O00042,Smart Watch,Wearables,2,31828,63656,Pune,Net Banking,Cancelled,Customer_86
O00043,Mobile,Electronics,4,30853,123412,Bangalore,Cash,Cancelled,Customer_41
O00044,Headphones,Accessories,2,2305,4610,Pune,Net Banking,Cancelled,Customer_38
O00045,Camera,Electronics,3,10717,32151,Hyderabad,Card,Completed,Customer_4
O00046,Mobile,Electronics,5,49618,248090,Pune,Net Banking,Completed,Customer_55
O00047,Laptop,Electronics,3,14444,43332,Delhi,Card,Cancelled,Customer_84
O00048,Mouse,Accessories,5,27960,139800,Kolkata,Card,Completed,Customer_190
O00049,Tablet,Electronics,4,43915,175660,Hyderabad,Net Banking,Cancelled,Customer_34
O00050,Headphones,Accessories,5,33959,169795,Mumbai,Net Banking,Completed,Customer_156
O00051,Laptop,Electronics,2,11794,23588,Pune,Net Banking,Cancelled,Customer_186
O00052,Mobile,Electronics,5,4547,22735,Delhi,Net Banking,Completed,Customer_144
O00053,Laptop,Electronics,2,13037,26074,Delhi,Cash,Completed,Customer_130
O00054,Camera,Electronics,5,2326,11630,Kolkata,Cash,Pending,Customer_84
O00055,Keyboard,Accessories,3,30144,90432,Hyderabad,Net Banking,Cancelled,Customer_64
O00056,Mouse,Accessories,5,13776,68880,Kolkata,Net Banking,Completed,Customer_107
O00057,Mobile,Electronics,4,29474,117896,Delhi,Cash,Cancelled,Customer_62
O00058,Smart Watch,Wearables,1,14438,14438,Chennai,UPI,Completed,Customer_199
O00059,Headphones,Accessories,3,9870,29610,Delhi,Card,Pending,Customer_57
O00060,Mobile,Electronics,4,32433,129732,Pune,Card,Completed,Customer_181
O00061,Smart Watch,Wearables,5,26964,134820,Delhi,Net Banking,Completed,Customer_92
O00062,Tablet,Electronics,1,47826,47826,Delhi,Cash,Pending,Customer_142
O00063,Camera,Electronics,4,46581,186324,Mumbai,Net Banking,Pending,Customer_133
O00064,Mouse,Accessories,5,4713,23565,Mumbai,Card,Completed,Customer_22
O00065,Mouse,Accessories,3,3094,9282,Kolkata,Card,Pending,Customer_194
O00066,Headphones,Accessories,4,44800,179200,Kolkata,UPI,Pending,Customer_39
O00067,Camera,Electronics,3,6362,19086,Delhi,Cash,Cancelled,Customer_47
O00068,Smart Watch,Wearables,1,18124,18124,Mumbai,Cash,Pending,Customer_22
O00069,Keyboard,Accessories,1,17831,17831,Kolkata,Cash,Pending,Customer_3
O00070,Tablet,Electronics,5,27878,139390,Delhi,Card,Completed,Customer_135
O00071,Keyboard,Accessories,1,11080,11080,Delhi,Cash,Completed,Customer_52
O00072,Mouse,Accessories,3,35305,105915,Kolkata,Card,Pending,Customer_115
O00073,Headphones,Accessories,3,23241,69723,Kolkata,Cash,Pending,Customer_10
O00074,Laptop,Electronics,1,48543,48543,Hyderabad,Card,Cancelled,Customer_122
O00075,Keyboard,Accessories,4,7465,29860,Chennai,Net Banking,Cancelled,Customer_127
O00076,Smart Watch,Wearables,5,20670,103350,Chennai,Card,Completed,Customer_88
O00077,Keyboard,Accessories,2,27022,54044,Delhi,Cash,Completed,Customer_4
O00078,Mobile,Electronics,3,28729,86187,Pune,Cash,Completed,Customer_171
O00079,Smart Watch,Wearables,5,44444,222220,Delhi,Card,Cancelled,Customer_76
O00080,Laptop,Electronics,4,12647,50588,Pune,UPI,Pending,Customer_1
O00081,Mouse,Accessories,3,22056,66168,Hyderabad,UPI,Completed,Customer_9
O00082,Mouse,Accessories,2,23869,47738,Pune,Cash,Pending,Customer_98
O00083,Mobile,Electronics,4,18779,75116,Hyderabad,Card,Completed,Customer_130
O00084,Laptop,Electronics,1,17812,17812,Kolkata,Cash,Completed,Customer_103
O00085,Laptop,Electronics,4,1974,7896,Delhi,UPI,Cancelled,Customer_60
O00086,Mobile,Electronics,5,35180,175900,Kolkata,Card,Cancelled,Customer_184
O00087,Smart Watch,Wearables,3,47730,143190,Bangalore,Card,Pending,Customer_186
O00088,Headphones,Accessories,1,47358,47358,Hyderabad,Net Banking,Cancelled,Customer_180
O00089,Headphones,Accessories,5,49839,249195,Hyderabad,Cash,Cancelled,Customer_150
O00090,Keyboard,Accessories,1,2542,2542,Mumbai,Card,Cancelled,Customer_93
O00091,Mobile,Electronics,4,30082,120328,Hyderabad,Cash,Cancelled,Customer_5
O00092,Keyboard,Accessories,4,17787,71148,Mumbai,Net Banking,Completed,Customer_192
O00093,Mobile,Electronics,5,4828,24140,Chennai,Net Banking,Pending,Customer_20
O00094,Mouse,Accessories,2,48297,96594,Kolkata,Card,Completed,Customer_190
O00095,Camera,Electronics,4,25571,102284,Mumbai,Net Banking,Cancelled,Customer_74
O00096,Laptop,Electronics,5,41970,209850,Chennai,Card,Completed,Customer_154
O00097,Headphones,Accessories,3,17142,51426,Chennai,UPI,Cancelled,Customer_146
O00098,Headphones,Accessories,1,32115,32115,Mumbai,Net Banking,Pending,Customer_173
O00099,Mobile,Electronics,2,44783,89566,Bangalore,UPI,Cancelled,Customer_133
O00100,Mouse,Accessories,4,31033,124132,Bangalore,Cash,Cancelled,Customer_52
O00101,Mouse,Accessories,1,31494,31494,Mumbai,UPI,Pending,Customer_20
O00102,Camera,Electronics,3,25852,77556,Pune,Card,Completed,Customer_149
O00103,Mobile,Electronics,2,49487,98974,Hyderabad,UPI,Pending,Customer_34
O00104,Mouse,Accessories,1,46593,46593,Delhi,Card,Pending,Customer_125
O00105,Smart Watch,Wearables,1,10924,10924,Mumbai,Net Banking,Cancelled,Customer_116
O00106,Smart Watch,Wearables,3,48156,144468,Pune,Net Banking,Pending,Customer_97
O00107,Tablet,Electronics,1,22213,22213,Mumbai,UPI,Pending,Customer_102
O00108,Mobile,Electronics,2,47228,94456,Mumbai,UPI,Pending,Customer_96
O00109,Mobile,Electronics,4,26069,104276,Kolkata,Cash,Pending,Customer_110
O00110,Mouse,Accessories,1,18891,18891,Mumbai,Cash,Cancelled,Customer_74
O00111,Headphones,Accessories,2,17914,35828,Bangalore,UPI,Completed,Customer_198
O00112,Tablet,Electronics,4,2401,9604,Kolkata,Net Banking,Cancelled,Customer_141
O00113,Keyboard,Accessories,1,3742,3742,Chennai,Net Banking,Pending,Customer_158
O00114,Headphones,Accessories,3,32322,96966,Mumbai,Card,Completed,Customer_121
O00115,Smart Watch,Wearables,3,18964,56892,Delhi,UPI,Cancelled,Customer_190
O00116,Mouse,Accessories,4,43491,173964,Pune,UPI,Pending,Customer_143
O00117,Smart Watch,Wearables,1,11466,11466,Chennai,Card,Completed,Customer_54
O00118,Camera,Electronics,5,14919,74595,Bangalore,UPI,Pending,Customer_110
O00119,Headphones,Accessories,5,13109,65545,Pune,Cash,Completed,Customer_88
O00120,Mobile,Electronics,3,16171,48513,Delhi,UPI,Cancelled,Customer_52
O00121,Laptop,Electronics,4,25589,102356,Bangalore,Card,Pending,Customer_70
O00122,Tablet,Electronics,1,33146,33146,Delhi,UPI,Completed,Customer_176
O00123,Keyboard,Accessories,1,18261,18261,Pune,Net Banking,Pending,Customer_166
O00124,Camera,Electronics,4,20948,83792,Kolkata,Cash,Completed,Customer_9
O00125,Smart Watch,Wearables,4,38981,155924,Bangalore,Cash,Completed,Customer_101
O00126,Camera,Electronics,4,16783,67132,Kolkata,Cash,Completed,Customer_40
O00127,Headphones,Accessories,5,45200,226000,Mumbai,Net Banking,Completed,Customer_142
O00128,Laptop,Electronics,1,8734,8734,Pune,Cash,Cancelled,Customer_184
O00129,Mouse,Accessories,2,41556,83112,Delhi,Net Banking,Cancelled,Customer_196
O00130,Mobile,Electronics,1,5110,5110,Delhi,Card,Pending,Customer_67
O00131,Keyboard,Accessories,5,575,2875,Mumbai,UPI,Pending,Customer_72
O00132,Tablet,Electronics,2,31649,63298,Hyderabad,Card,Cancelled,Customer_64
O00133,Laptop,Electronics,4,46680,186720,Chennai,UPI,Completed,Customer_6
O00134,Keyboard,Accessories,4,44701,178804,Chennai,Net Banking,Completed,Customer_66
O00135,Keyboard,Accessories,4,24762,99048,Pune,Net Banking,Completed,Customer_179
O00136,Tablet,Electronics,4,24244,96976,Chennai,Net Banking,Completed,Customer_2
O00137,Mouse,Accessories,5,4919,24595,Pune,Net Banking,Completed,Customer_80
O00138,Keyboard,Accessories,2,30981,61962,Pune,UPI,Pending,Customer_28
O00139,Camera,Electronics,5,12775,63875,Pune,Net Banking,Pending,Customer_171
O00140,Laptop,Electronics,5,10093,50465,Bangalore,Cash,Completed,Customer_7
O00141,Headphones,Accessories,4,3897,15588,Chennai,Cash,Completed,Customer_101
O00142,Camera,Electronics,3,48519,145557,Mumbai,Cash,Completed,Customer_85
O00143,Keyboard,Accessories,2,43260,86520,Hyderabad,Net Banking,Completed,Customer_80
O00144,Smart Watch,Wearables,3,22238,66714,Bangalore,Card,Completed,Customer_1
O00145,Mobile,Electronics,3,5792,17376,Delhi,Net Banking,Completed,Customer_144
O00146,Keyboard,Accessories,4,23872,95488,Kolkata,UPI,Pending,Customer_23
O00147,Laptop,Electronics,4,13326,53304,Delhi,Net Banking,Completed,Customer_83
O00148,Tablet,Electronics,4,2484,9936,Chennai,Net Banking,Completed,Customer_161
O00149,Smart Watch,Wearables,1,25113,25113,Mumbai,Net Banking,Completed,Customer_16
O00150,Mouse,Accessories,2,49474,98948,Mumbai,UPI,Pending,Customer_70
O00151,Tablet,Electronics,5,3356,16780,Delhi,UPI,Pending,Customer_77
O00152,Laptop,Electronics,5,42048,210240,Mumbai,Cash,Completed,Customer_28
O00153,Camera,Electronics,4,25830,103320,Kolkata,UPI,Pending,Customer_127
O00154,Headphones,Accessories,4,12489,49956,Mumbai,UPI,Cancelled,Customer_198
O00155,Headphones,Accessories,5,15975,79875,Delhi,UPI,Pending,Customer_93
O00156,Mobile,Electronics,5,13431,67155,Bangalore,Card,Completed,Customer_105
O00157,Mobile,Electronics,1,32068,32068,Hyderabad,UPI,Completed,Customer_110
O00158,Mobile,Electronics,1,17859,17859,Hyderabad,Cash,Completed,Customer_25
O00159,Smart Watch,Wearables,4,47015,188060,Bangalore,Card,Completed,Customer_35
O00160,Smart Watch,Wearables,4,41152,164608,Chennai,Card,Cancelled,Customer_138
O00161,Mobile,Electronics,3,19753,59259,Delhi,UPI,Pending,Customer_66
O00162,Mouse,Accessories,2,29296,58592,Pune,Card,Completed,Customer_61
O00163,Headphones,Accessories,3,38398,115194,Pune,UPI,Completed,Customer_102
O00164,Mouse,Accessories,2,33748,67496,Hyderabad,Card,Cancelled,Customer_26
O00165,Camera,Electronics,1,7206,7206,Mumbai,Net Banking,Completed,Customer_115
O00166,Tablet,Electronics,1,19746,19746,Pune,Cash,Completed,Customer_49
O00167,Keyboard,Accessories,1,24894,24894,Hyderabad,Card,Pending,Customer_155
O00168,Mouse,Accessories,1,7432,7432,Chennai,UPI,Completed,Customer_10
O00169,Tablet,Electronics,3,9764,29292,Mumbai,Card,Pending,Customer_10
O00170,Keyboard,Accessories,1,21946,21946,Bangalore,UPI,Completed,Customer_159
O00171,Mouse,Accessories,1,13830,13830,Mumbai,Net Banking,Cancelled,Customer_124
O00172,Mobile,Electronics,4,7144,28576,Kolkata,Net Banking,Cancelled,Customer_141
O00173,Headphones,Accessories,5,6473,32365,Chennai,Card,Pending,Customer_179
O00174,Mouse,Accessories,4,19066,76264,Chennai,UPI,Pending,Customer_14
O00175,Mouse,Accessories,5,23908,119540,Bangalore,Net Banking,Completed,Customer_197
O00176,Tablet,Electronics,2,26106,52212,Chennai,Net Banking,Completed,Customer_2
O00177,Smart Watch,Wearables,2,28271,56542,Mumbai,Cash,Pending,Customer_148
O00178,Tablet,Electronics,4,11152,44608,Pune,Cash,Completed,Customer_142
O00179,Headphones,Accessories,4,6334,25336,Hyderabad,UPI,Cancelled,Customer_130
O00180,Headphones,Accessories,2,23302,46604,Delhi,Card,Cancelled,Customer_44
O00181,Mobile,Electronics,1,25648,25648,Bangalore,Card,Pending,Customer_33
O00182,Laptop,Electronics,4,21112,84448,Mumbai,Net Banking,Completed,Customer_183
O00183,Headphones,Accessories,2,41201,82402,Bangalore,Card,Pending,Customer_47
O00184,Keyboard,Accessories,1,26697,26697,Hyderabad,Card,Pending,Customer_92
O00185,Mobile,Electronics,2,16691,33382,Chennai,Card,Completed,Customer_144
O00186,Laptop,Electronics,3,8215,24645,Bangalore,Net Banking,Cancelled,Customer_161
O00187,Mouse,Accessories,4,20698,82792,Hyderabad,Card,Pending,Customer_100
O00188,Tablet,Electronics,4,33502,134008,Bangalore,Card,Completed,Customer_1
O00189,Camera,Electronics,4,15917,63668,Bangalore,Net Banking,Completed,Customer_122
O00190,Smart Watch,Wearables,1,4898,4898,Pune,UPI,Pending,Customer_94
O00191,Mobile,Electronics,4,33552,134208,Hyderabad,Cash,Completed,Customer_163
O00192,Headphones,Accessories,1,48569,48569,Delhi,Cash,Completed,Customer_193
O00193,Smart Watch,Wearables,2,2194,4388,Kolkata,Cash,Cancelled,Customer_188
O00194,Mobile,Electronics,2,9125,18250,Bangalore,UPI,Completed,Customer_176
O00195,Keyboard,Accessories,1,23496,23496,Hyderabad,UPI,Completed,Customer_83
O00196,Mouse,Accessories,4,9909,39636,Delhi,Net Banking,Completed,Customer_152
O00197,Mouse,Accessories,5,33661,168305,Pune,UPI,Pending,Customer_10
O00198,Keyboard,Accessories,2,26941,53882,Pune,UPI,Cancelled,Customer_84
O00199,Smart Watch,Wearables,2,17823,35646,Mumbai,Cash,Cancelled,Customer_93
O00200,Camera,Electronics,5,34673,173365,Hyderabad,Cash,Pending,Customer_138
O00201,Smart Watch,Wearables,3,17850,53550,Bangalore,UPI,Cancelled,Customer_38
O00202,Tablet,Electronics,3,5833,17499,Bangalore,Card,Completed,Customer_158
O00203,Laptop,Electronics,3,34323,102969,Delhi,UPI,Cancelled,Customer_150
O00204,Tablet,Electronics,1,49463,49463,Mumbai,Card,Completed,Customer_75
O00205,Smart Watch,Wearables,4,34098,136392,Delhi,Cash,Completed,Customer_126
O00206,Keyboard,Accessories,5,43302,216510,Mumbai,Cash,Completed,Customer_1
O00207,Tablet,Electronics,3,7470,22410,Hyderabad,UPI,Cancelled,Customer_58
O00208,Smart Watch,Wearables,5,20236,101180,Hyderabad,Card,Completed,Customer_94
O00209,Camera,Electronics,2,9330,18660,Mumbai,Card,Cancelled,Customer_39
O00210,Camera,Electronics,1,4672,4672,Chennai,Card,Cancelled,Customer_70
O00211,Smart Watch,Wearables,3,1253,3759,Mumbai,UPI,Cancelled,Customer_166
O00212,Camera,Electronics,5,34420,172100,Chennai,Net Banking,Completed,Customer_43
O00213,Laptop,Electronics,1,4532,4532,Hyderabad,Cash,Pending,Customer_48
O00214,Keyboard,Accessories,2,4325,8650,Kolkata,Cash,Completed,Customer_157
O00215,Keyboard,Accessories,2,27578,55156,Pune,Net Banking,Cancelled,Customer_45
O00216,Mouse,Accessories,1,20178,20178,Chennai,Cash,Cancelled,Customer_123
O00217,Laptop,Electronics,4,29116,116464,Chennai,Net Banking,Completed,Customer_190
O00218,Camera,Electronics,2,15307,30614,Mumbai,UPI,Completed,Customer_165
O00219,Laptop,Electronics,1,22488,22488,Chennai,UPI,Cancelled,Customer_14
O00220,Mouse,Accessories,5,45014,225070,Bangalore,UPI,Pending,Customer_165
O00221,Keyboard,Accessories,1,33754,33754,Mumbai,Card,Pending,Customer_61
O00222,Keyboard,Accessories,2,49399,98798,Delhi,Card,Pending,Customer_85
O00223,Keyboard,Accessories,4,41833,167332,Chennai,Net Banking,Pending,Customer_136
O00224,Laptop,Electronics,1,29153,29153,Chennai,Card,Cancelled,Customer_79
O00225,Keyboard,Accessories,4,41304,165216,Hyderabad,Cash,Cancelled,Customer_44
O00226,Headphones,Accessories,1,2263,2263,Mumbai,Cash,Cancelled,Customer_42
O00227,Tablet,Electronics,2,46423,92846,Mumbai,Cash,Completed,Customer_36
O00228,Laptop,Electronics,1,48785,48785,Mumbai,Cash,Cancelled,Customer_196
O00229,Tablet,Electronics,2,35489,70978,Chennai,Cash,Cancelled,Customer_99
O00230,Mobile,Electronics,2,13982,27964,Pune,Cash,Completed,Customer_9
O00231,Mobile,Electronics,3,31768,95304,Mumbai,Card,Completed,Customer_194
O00232,Keyboard,Accessories,3,21415,64245,Delhi,Net Banking,Pending,Customer_6
O00233,Tablet,Electronics,3,19020,57060,Mumbai,UPI,Pending,Customer_197
O00234,Camera,Electronics,3,41019,123057,Chennai,Cash,Pending,Customer_8
O00235,Smart Watch,Wearables,5,6942,34710,Delhi,Net Banking,Cancelled,Customer_13
O00236,Keyboard,Accessories,1,38153,38153,Kolkata,UPI,Completed,Customer_112
O00237,Laptop,Electronics,5,13740,68700,Delhi,Cash,Completed,Customer_90
O00238,Camera,Electronics,1,32709,32709,Chennai,Card,Pending,Customer_152
O00239,Tablet,Electronics,5,17577,87885,Hyderabad,Card,Pending,Customer_55
O00240,Keyboard,Accessories,4,11365,45460,Mumbai,Cash,Pending,Customer_179
O00241,Mobile,Electronics,3,23805,71415,Mumbai,Net Banking,Pending,Customer_191
O00242,Mobile,Electronics,4,42827,171308,Mumbai,UPI,Completed,Customer_78
O00243,Mouse,Accessories,4,36212,144848,Hyderabad,Card,Pending,Customer_162
O00244,Keyboard,Accessories,4,8815,35260,Hyderabad,Cash,Pending,Customer_149
O00245,Tablet,Electronics,5,10679,53395,Kolkata,Net Banking,Cancelled,Customer_142
O00246,Tablet,Electronics,2,30853,61706,Bangalore,UPI,Cancelled,Customer_60
O00247,Headphones,Accessories,3,30778,92334,Chennai,Card,Cancelled,Customer_50
O00248,Mouse,Accessories,3,49962,149886,Chennai,Card,Cancelled,Customer_40
O00249,Keyboard,Accessories,3,40011,120033,Hyderabad,UPI,Completed,Customer_61
O00250,Tablet,Electronics,2,17453,34906,Chennai,Cash,Completed,Customer_169
O00251,Mobile,Electronics,2,25681,51362,Pune,Card,Pending,Customer_188
O00252,Mouse,Accessories,4,18445,73780,Pune,Cash,Cancelled,Customer_28
O00253,Mouse,Accessories,2,25950,51900,Bangalore,Cash,Completed,Customer_103
O00254,Smart Watch,Wearables,2,33299,66598,Chennai,UPI,Pending,Customer_6
O00255,Headphones,Accessories,3,40064,120192,Chennai,Net Banking,Completed,Customer_190
O00256,Keyboard,Accessories,4,46451,185804,Hyderabad,Net Banking,Completed,Customer_171
O00257,Keyboard,Accessories,2,42543,85086,Mumbai,Net Banking,Pending,Customer_81
O00258,Mouse,Accessories,1,27997,27997,Pune,Net Banking,Cancelled,Customer_183
O00259,Headphones,Accessories,3,28259,84777,Bangalore,Net Banking,Completed,Customer_160
O00260,Smart Watch,Wearables,5,44752,223760,Chennai,Card,Cancelled,Customer_84
O00261,Laptop,Electronics,4,32602,130408,Mumbai,Cash,Pending,Customer_140
O00262,Keyboard,Accessories,2,47437,94874,Kolkata,Card,Cancelled,Customer_90
O00263,Mobile,Electronics,5,30435,152175,Hyderabad,Card,Cancelled,Customer_122
O00264,Laptop,Electronics,3,34689,104067,Delhi,Net Banking,Cancelled,Customer_117
O00265,Keyboard,Accessories,2,26222,52444,Hyderabad,Cash,Cancelled,Customer_158
O00266,Tablet,Electronics,1,17045,17045,Delhi,Net Banking,Pending,Customer_16
O00267,Laptop,Electronics,1,27932,27932,Bangalore,UPI,Cancelled,Customer_68
O00268,Mobile,Electronics,2,20389,40778,Chennai,Net Banking,Cancelled,Customer_57
O00269,Smart Watch,Wearables,4,14394,57576,Pune,Card,Completed,Customer_163
O00270,Keyboard,Accessories,4,42587,170348,Hyderabad,Card,Completed,Customer_91
O00271,Smart Watch,Wearables,4,19790,79160,Kolkata,Card,Pending,Customer_91
O00272,Keyboard,Accessories,3,46650,139950,Bangalore,UPI,Pending,Customer_174
O00273,Headphones,Accessories,4,676,2704,Kolkata,UPI,Pending,Customer_63
O00274,Mouse,Accessories,3,31927,95781,Bangalore,Net Banking,Cancelled,Customer_164
O00275,Mobile,Electronics,3,10510,31530,Delhi,Net Banking,Completed,Customer_22
O00276,Tablet,Electronics,2,35276,70552,Kolkata,UPI,Cancelled,Customer_150
O00277,Laptop,Electronics,1,14246,14246,Mumbai,UPI,Pending,Customer_156
O00278,Mobile,Electronics,5,9854,49270,Kolkata,Card,Completed,Customer_199
O00279,Camera,Electronics,3,10505,31515,Pune,Net Banking,Cancelled,Customer_43
O00280,Mobile,Electronics,5,42219,211095,Kolkata,UPI,Completed,Customer_127
O00281,Keyboard,Accessories,5,5652,28260,Chennai,Net Banking,Cancelled,Customer_30
O00282,Mobile,Electronics,3,27962,83886,Pune,Card,Pending,Customer_127
O00283,Laptop,Electronics,4,31111,124444,Pune,Net Banking,Completed,Customer_128
O00284,Headphones,Accessories,5,39795,198975,Kolkata,Cash,Completed,Customer_83
O00285,Camera,Electronics,5,33111,165555,Chennai,UPI,Pending,Customer_96
O00286,Smart Watch,Wearables,4,44798,179192,Mumbai,Card,Cancelled,Customer_93
O00287,Laptop,Electronics,1,40455,40455,Mumbai,UPI,Completed,Customer_131
O00288,Camera,Electronics,4,9969,39876,Mumbai,Card,Cancelled,Customer_107
O00289,Headphones,Accessories,3,6690,20070,Kolkata,UPI,Pending,Customer_122
O00290,Keyboard,Accessories,3,29020,87060,Delhi,Net Banking,Pending,Customer_142
O00291,Laptop,Electronics,3,19694,59082,Delhi,Net Banking,Pending,Customer_86
O00292,Mouse,Accessories,5,23097,115485,Pune,Net Banking,Completed,Customer_85
O00293,Keyboard,Accessories,3,47239,141717,Delhi,Card,Cancelled,Customer_163
O00294,Mobile,Electronics,1,26640,26640,Chennai,Net Banking,Cancelled,Customer_147
O00295,Laptop,Electronics,4,20187,80748,Mumbai,Cash,Completed,Customer_49
O00296,Camera,Electronics,5,43623,218115,Mumbai,Net Banking,Cancelled,Customer_38
O00297,Mobile,Electronics,2,3086,6172,Chennai,Net Banking,Cancelled,Customer_196
O00298,Headphones,Accessories,1,43990,43990,Pune,Cash,Pending,Customer_199
O00299,Mobile,Electronics,1,24674,24674,Kolkata,Card,Pending,Customer_144
O00300,Mouse,Accessories,3,12609,37827,Bangalore,Cash,Pending,Customer_6
O00301,Smart Watch,Wearables,5,42558,212790,Hyderabad,Cash,Pending,Customer_146
O00302,Laptop,Electronics,1,28095,28095,Hyderabad,Net Banking,Pending,Customer_18
O00303,Laptop,Electronics,4,39419,157676,Hyderabad,Card,Pending,Customer_198
O00304,Smart Watch,Wearables,5,7187,35935,Mumbai,Net Banking,Completed,Customer_39
O00305,Laptop,Electronics,4,813,3252,Mumbai,Cash,Completed,Customer_56
O00306,Mobile,Electronics,2,31454,62908,Mumbai,UPI,Cancelled,Customer_146
O00307,Keyboard,Accessories,4,48574,194296,Chennai,Card,Completed,Customer_94
O00308,Headphones,Accessories,1,19711,19711,Chennai,Net Banking,Pending,Customer_172
O00309,Mouse,Accessories,1,47503,47503,Mumbai,Cash,Completed,Customer_4
O00310,Mobile,Electronics,4,20885,83540,Delhi,Card,Pending,Customer_156
O00311,Laptop,Electronics,3,24588,73764,Hyderabad,Net Banking,Pending,Customer_174
O00312,Headphones,Accessories,2,8148,16296,Delhi,Card,Cancelled,Customer_107
O00313,Camera,Electronics,4,30171,120684,Delhi,UPI,Pending,Customer_72
O00314,Laptop,Electronics,5,43160,215800,Chennai,UPI,Cancelled,Customer_186
O00315,Laptop,Electronics,2,39896,79792,Kolkata,UPI,Cancelled,Customer_110
O00316,Keyboard,Accessories,4,25885,103540,Chennai,Net Banking,Cancelled,Customer_198
O00317,Keyboard,Accessories,4,19066,76264,Chennai,Cash,Pending,Customer_68
O00318,Mouse,Accessories,4,10807,43228,Hyderabad,Cash,Pending,Customer_37
O00319,Headphones,Accessories,3,36403,109209,Chennai,Net Banking,Pending,Customer_137
O00320,Mobile,Electronics,5,36785,183925,Bangalore,Net Banking,Completed,Customer_193
O00321,Keyboard,Accessories,3,40273,120819,Mumbai,Net Banking,Pending,Customer_182
O00322,Keyboard,Accessories,3,38929,116787,Kolkata,Cash,Pending,Customer_118
O00323,Mobile,Electronics,5,23772,118860,Kolkata,Cash,Completed,Customer_102
O00324,Mouse,Accessories,5,21536,107680,Bangalore,Card,Completed,Customer_55
O00325,Keyboard,Accessories,1,12341,12341,Kolkata,UPI,Pending,Customer_148
